Zipcode	Average_Household_Size	Prevelance	COUNTYNAME
33067	3.19	8.615395862	Broward
33068	3.32	9.679804356	Broward
33069	2.93	9.961617741	Broward
33071	3.16	8.852342521	Broward
33073	3.23	10.38498502	Broward
33076	3.31	7.891842112	Broward
33125	3.15	17.82654196	Dade
33126	3.06	15.83625863	Dade
33127	3.37	10.57613943	Dade
33130	2.72	18.71742274	Dade
33131	2.52	17.80050874	Dade
33135	2.98	13.57656732	Dade
33137	2.8899999999999997	16.74145066	Dade
33140	2.68	17.02778614	Dade
33141	2.83	10.4606719	Dade
33142	3.33	14.637821	Dade
33143	2.9	16.80834621	Dade
33144	3.06	15.27399128	Dade
33145	2.9699999999999998	13.0563605	Dade
33147	3.37	13.6663111	Dade
33150	3.36	9.918386618	Dade
33155	3.17	15.20904391	Dade
33156	3.16	12.86626484	Dade
33157	3.4	13.55273886	Dade
33160	2.66	12.28575035	Dade
33161	3.42	8.952431855	Dade
33162	3.49	9.980264414	Dade
33165	3.3600000000000003	17.9248325	Dade
33166	3.08	19.17768833	Dade
33168	3.62	9.484205151	Dade
33169	3.42	10.68082448	Dade
33172	3.1399999999999997	17.97213765	Dade
33173	3.11	13.62386292	Dade
33174	3.1399999999999997	15.87942912	Dade
33175	3.34	17.49268951	Dade
33176	3.19	12.78687271	Dade
33177	3.5700000000000003	15.79112054	Dade
33178	3.43	26.52185573	Dade
33179	3.15	11.62355382	Dade
33180	2.77	12.61058537	Dade
33181	3.0700000000000003	10.15861966	Dade
33183	3.03	15.25663717	Dade
33184	3.4000000000000004	15.92839109	Dade
33185	3.5700000000000003	14.87292324	Dade
33186	3.24	13.56789781	Dade
33187	3.5	15.01650165	Dade
33189	3.31	12.91011147	Dade
33190	3.31	12.11370533	Dade
33193	3.3499999999999996	14.50229005	Dade
33196	3.46	14.03849417	Dade
33301	2.46	14.30477716	Broward
33305	2.58	8.861070201	Broward
33308	2.43	9.152194622	Broward
33309	3.3600000000000003	9.528939379	Broward
33311	3.44	8.63775584	Broward
33312	3.36	9.683894535	Broward
33313	3.4	8.13946087	Broward
33314	3.09	11.58064634	Broward
33315	2.79	12.86138686	Broward
33317	3.16	9.173237567	Broward
33319	2.92	9.601162741	Broward
33321	2.91	9.43623057	Broward
33322	2.8400000000000003	7.70135816	Broward
33323	3.16	10.202762	Broward
33324	2.87	8.292384545	Broward
33325	3.19	11.06268514	Broward
33326	3.18	11.04509124	Broward
33328	2.98	8.752447175	Broward
33334	2.91	10.08340679	Broward
33351	3.18	11.06544773	Broward
33401	2.92	11.44072228	Palm Beach
33407	3.2	10.27542709	Palm Beach
33408	2.4699999999999998	6.486516175	Palm Beach
33409	3.26	8.222931471	Palm Beach
33410	2.81	7.287184018	Palm Beach
33411	3.13	7.239544565	Palm Beach
33412	2.8200000000000003	5.720010341	Palm Beach
33413	3.27	9.298335907	Palm Beach
33414	3.19	6.661448396	Palm Beach
33415	3.29	9.901334209	Palm Beach
33417	2.88	7.29336455	Palm Beach
33418	2.64	5.937545814	Palm Beach
33426	2.9	9.088242688	Palm Beach
33428	3.11	9.765690982	Palm Beach
33430	3.56	9.550319351	Palm Beach
33432	2.46	8.57128911	Palm Beach
33433	2.79	10.00074521	Palm Beach
33434	2.5700000000000003	6.360441277	Palm Beach
33435	3	8.225958082	Palm Beach
33436	2.8600000000000003	6.507226505	Palm Beach
33437	2.39	4.762528832	Palm Beach
33440	3.3000000000000003	11.33039826	Hendry
33440	3.3000000000000003	11.33039826	Palm Beach
33440	3.3000000000000003	0.025302363	Hendry
33440	3.3000000000000003	0.025302363	Palm Beach
33441	2.87	9.804926253	Broward
33442	2.67	9.073332413	Broward
33444	3	8.098548603	Palm Beach
33445	2.75	7.504021701	Palm Beach
33446	2.2800000000000002	6.767668999	Palm Beach
33455	2.63	5.545045045	Martin
33458	2.98	0.006812685	Martin
33458	2.98	0.006812685	Palm Beach
33458	2.98	6.800763021	Martin
33458	2.98	6.800763021	Palm Beach
33460	3.3200000000000003	9.142541369	Palm Beach
33461	3.34	9.110715408	Palm Beach
33462	3.02	8.068349328	Palm Beach
33463	3.41	8.495210532	Palm Beach
33467	2.94	7.215126887	Palm Beach
33469	2.6599999999999997	0.174216028	Martin
33469	2.6599999999999997	0.174216028	Palm Beach
33469	2.6599999999999997	5.970249263	Martin
33469	2.6599999999999997	5.970249263	Palm Beach
33470	3.33	7.8559139	Palm Beach
33472	2.75	5.119196989	Palm Beach
33477	2.25	4.750951777	Palm Beach
33478	3.01	0	Martin
33478	3.01	0	Palm Beach
33478	3.01	5.516456956	Martin
