Zipcode	Median_Income	Prevelance
32506	28678	7.639646519746892
32507	30683	6.563345791983504
32514	25585	10.347752332485156
32526	30299	9.682412596744063
32533	34871	10.140342610978358
32534	28313	9.781576448243115
32536	32776	8.66210329807094
32539	26496	9.223059307689754
32539	26496	0.013275364242806412
32541	39868	9.697891534669044
32547	27895	9.233906204485873
32548	30169	9.001289847060992
32550	37700	9.313111055402356
32561	51131	0.5239294710327456
32561	51131	7.193954659949623
32563	35322	9.327724606359986
32566	34448	8.684629150924637
32570	29322	9.919913212724547
32571	31555	9.943693693693694
32578	39205	9.200120736492606
32578	39205	0.02112888620585572
32579	33755	7.980266976204295
32583	25273	9.606674612634087
32605	37366	5.947722648301769
32606	40501	6.074567016466172
32607	21517	8.936254716356656
32608	25684	7.01987555125959
32615	32163	8.1994866153282
32626	20925	7.538146208153041
32641	20349	8.068721171201283
32643	27734	5.743185324875707
32643	27734	0.03428767358134751
32643	27734	0.1457226127207269
32653	36856	5.103349964362081
32693	20972	8.003703080289513
32693	20972	0.14307355664029625
32696	24114	8.290447089096173
32696	24114	0.04020585397233837
32701	30669	6.582388840453357
32703	27095	6.839276082063874
32703	27095	0.2120417387422577
32707	28573	6.154956154956155
32708	36555	6.045495664452927
32712	33806	6.463001806816057
32713	32507	5.6289488799540495
32714	31116	6.737579315973777
32720	25308	0.012337682366367477
32720	25308	6.085561827210759
32724	26915	6.439219718081221
32725	26094	6.1454640145824575
32726	24587	6.977985323549032
32738	26434	6.005130341365022
32746	40441	5.614004066837592
32750	33414	5.7382617382617385
32751	37565	7.2226425170219395
32751	37565	0.34266387788705444
32754	26547	3.741806263656227
32754	26547	0.03641660597232338
32757	30573	6.498749553411932
32757	30573	0.050017863522686674
32763	26819	6.448425484383727
32765	35993	5.920520321155163
32771	30242	6.440834607045106
32773	27530	7.122497998398719
32778	25116	7.989667765208871
32779	41655	5.99601391750836
32780	26635	4.668291062133126
32789	40223	6.842125136880263
32792	28723	5.166573104396136
32792	28723	0.5013647186356684
32796	26778	4.017662186423408
32801	44350	13.869149718206323
32803	44421	9.435179670438753
32804	44161	9.116129390223602
32805	17466	8.969748254707003
32806	35419	6.966487111818083
32807	22150	8.575786353564132
32808	20500	5.741174883203184
32809	21938	8.413816807011514
32810	26954	6.003539262037453
32811	22303	8.424872737900966
32812	30783	7.220750244038489
32817	26145	7.1130760836108236
32818	21967	5.261349187257294
32819	31478	11.170977011494253
32821	27562	13.048642533936652
32822	21350	9.217940414507773
32824	26482	13.05881846736371
