Zipcode	Proportion	Prevelance	COUNTYNAME
33137	21	16.74145066434328	Dade
33140	20	17.027786137024776	Dade
33141	32	10.460671897002616	Dade
33142	55.00000000000001	14.63782100113419	Dade
33143	23	16.808346213292115	Dade
33144	31	15.273991275899673	Dade
33145	28.000000000000004	13.056360498811578	Dade
33147	45	13.666311099956078	Dade
33150	50	9.918386618103332	Dade
33155	23	15.209043911019585	Dade
33156	14.000000000000002	12.86626484454258	Dade
33157	24	13.552738862945668	Dade
33160	31	12.28575034709075	Dade
33161	36	8.952431854623196	Dade
33162	32	9.980264414404855	Dade
33165	30	17.924832503314107	Dade
33166	25	19.177688326624498	Dade
33168	27	9.48420515065295	Dade
33169	32	10.680824484697064	Dade
33172	25	17.972137651074824	Dade
33173	18	13.623862915168184	Dade
33174	33	15.879429119553528	Dade
33175	24	17.492689510384643	Dade
33176	19	12.786872705018359	Dade
33177	22	15.79112053680075	Dade
33178	18	26.52185572539555	Dade
33179	27	11.623553821519588	Dade
33180	24	12.610585370364664	Dade
33181	34	10.158619660882104	Dade
33183	25	15.256637168141593	Dade
33184	28.999999999999996	15.928391094789992	Dade
33185	10	14.872923243725882	Dade
33186	19	13.567897814263427	Dade
33187	12	15.016501650165019	Dade
33189	25	12.91011147126255	Dade
33190	19	12.113705332259862	Dade
33193	24	14.502290045800917	Dade
33196	17	14.038494165551304	Dade
33301	12	14.30477715505738	Broward
33305	20	8.861070201276387	Broward
33308	22	9.15219462152854	Broward
33309	27	9.52893937910097	Broward
33311	40	8.637755839785468	Broward
33312	24.000000000000004	9.683894535064558	Broward
33313	40	8.139460870118711	Broward
33314	29.000000000000004	11.580646344594843	Broward
33315	21.000000000000004	12.861386856024925	Broward
33317	20	9.173237567335466	Broward
33319	32	9.601162740990894	Broward
33321	30	9.436230569674983	Broward
33322	33	7.701358160472671	Broward
33323	12	10.20276199713639	Broward
33324	18	8.29238454480579	Broward
33325	13	11.062685144199666	Broward
33326	14.000000000000002	11.045091238123964	Broward
33328	14.000000000000002	8.75244717477891	Broward
33334	26	10.083406794602293	Broward
33351	21	11.065447734071403	Broward
33401	29.000000000000004	11.440722278383937	Palm Beach
33407	36.00000000000001	10.275427086304713	Palm Beach
33408	17	6.48651617509749	Palm Beach
33409	26	8.222931470552812	Palm Beach
33410	16	7.287184017783351	Palm Beach
33411	17	7.239544564827834	Palm Beach
33412	11	5.720010341261634	Palm Beach
33413	15	9.298335906673529	Palm Beach
33414	13	6.661448396197185	Palm Beach
33415	35	9.90133420864629	Palm Beach
33417	37	7.293364549684379	Palm Beach
33418	16	5.937545814396716	Palm Beach
33426	19	9.08824268834325	Palm Beach
33428	21.000000000000004	9.765690982360464	Palm Beach
33430	55.00000000000001	9.550319350940791	Palm Beach
